W,VAR,VA,f,V,PF,A,Label
216.118,-30.955,218.324,50.18,233.18,0.99,0.936,"Fan,Motor,Laptop,Iron"
210.575,-30.193,212.729,50.19,233.07,0.99,0.913,"Fan,Motor,Laptop,Iron"
142.741,-101.433,175.11,50.18,233.73,0.815,0.749,
2.147,2.546,3.33,50.18,234.75,0.645,0.014,Fan
122.638,-139.761,185.938,50.16,233.91,0.66,0.795,
209.806,-32.415,212.295,50.18,233.36,0.988,0.91,"Fan,Motor,Laptop,Iron"
200.633,-32.116,203.187,50.18,232.95,0.987,0.872,"Fan,Motor,Laptop,Iron"
197.402,-29.838,199.644,50.18,233.22,0.989,0.856,
202.553,-32.233,205.102,50.2,233.16,0.988,0.88,"Fan,Motor,Laptop,Iron"
5.321,24.589,25.158,50.21,234.71,0.212,0.107,Fan
2.121,2.496,3.275,50.19,234.65,0.647,0.014,Fan
2.144,2.444,3.251,50.18,234.84,0.66,0.014,Fan
225.254,-33.31,227.704,50.2,232.83,0.989,0.978,"Fan,Motor,Laptop,Iron"
225.625,-33.602,228.113,50.2,232.74,0.989,0.98,"Fan,Motor,Laptop,Iron"
222.043,-32.695,224.437,50.19,232.92,0.989,0.964,"Fan,Motor,Laptop,Iron"
217.319,-31.965,219.657,50.19,232.78,0.989,0.944,"Fan,Motor,Laptop,Iron"
214.527,-31.476,216.824,50.21,232.92,0.989,0.931,"Fan,Motor,Laptop,Iron"
221.477,-33.305,223.967,50.19,232.75,0.989,0.962,"Fan,Motor,Laptop,Iron"
214.71,-31.384,216.991,50.19,232.82,0.989,0.932,"Fan,Motor,Laptop,Iron"
215.031,-31.903,217.385,50.19,232.87,0.989,0.934,"Fan,Motor,Laptop,Iron"
210.914,-30.363,213.088,50.19,232.86,0.99,0.915,"Fan,Motor,Laptop,Iron"
209.401,-29.904,211.525,50.19,232.92,0.99,0.908,"Fan,Motor,Laptop,Iron"
216.619,-31.838,218.946,50.19,233.04,0.989,0.94,"Fan,Motor,Laptop,Iron"
213.157,-31.398,215.457,50.2,232.97,0.989,0.925,"Fan,Motor,Laptop,Iron"
215.263,-31.982,217.626,50.19,232.97,0.989,0.934,"Fan,Motor,Laptop,Iron"
211.914,-31.277,214.209,50.18,233.07,0.989,0.919,"Fan,Motor,Laptop,Iron"
209.53,-30.96,211.805,50.19,232.9,0.989,0.909,"Fan,Motor,Laptop,Iron"
209.106,-30.533,211.324,50.2,232.92,0.99,0.907,"Fan,Motor,Laptop,Iron"
208.056,-30.268,208.956,50.2,232.97,0.99,0.902,"Fan,Motor,Laptop,Iron"
204.81,-29.028,209.44,50.2,232.9,0.99,0.888,"Fan,Motor,Laptop,Iron"
206.418,-29.43,207.378,50.2,232.99,0.99,0.895,"Fan,Motor,Laptop,Iron"
207.317,-28.803,206.731,50.2,232.88,0.99,0.888,"Fan,Motor,Laptop,Iron"
204.292,-29.518,209.209,50.2,232.95,0.99,0.898,"Fan,Motor,Laptop,Iron"
204.002,-29.858,210.042,50.16,233.01,0.99,0.902,"Fan,Motor,Laptop,Iron"
208.178,-30.772,211.254,50.18,232.88,0.989,0.907,"Fan,Motor,Laptop,Iron"
210.422,-30.578,212.632,50.19,232.99,0.99,0.913,"Fan,Motor,Laptop,Iron"
210.23,-30.01,212.361,50.19,233.06,0.99,0.911,"Fan,Motor,Laptop,Iron"
208.303,-29.873,210.434,50.18,233.04,0.99,0.903,"Fan,Motor,Laptop,Iron"
212.789,-31.097,215.049,50.19,233.17,0.989,0.922,"Fan,Motor,Laptop,Iron"
209.237,-29.878,211.359,50.19,233.05,0.99,0.907,"Fan,Motor,Laptop,Iron"
212.248,-30.693,214.456,50.19,233.1,0.99,0.92,"Fan,Motor,Laptop,Iron"
209.605,-29.383,211.655,50.19,233.22,0.99,0.908,"Fan,Motor,Laptop,Iron"
211.018,-30.065,213.15,50.2,233.03,0.99,0.915,"Fan,Motor,Laptop,Iron"
210.707,-29.946,212.825,50.19,233.19,0.99,0.913,"Fan,Motor,Laptop,Iron"
211.368,-30.43,213.547,50.18,233.26,0.99,0.915,"Fan,Motor,Laptop,Iron"
210.773,-30.39,212.953,50.18,233.25,0.99,0.913,"Fan,Motor,Laptop,Iron"
211.047,-30.862,213.292,50.19,233.25,0.989,0.914,"Fan,Motor,Laptop,Iron"
214.719,-30.875,216.928,50.17,233.53,0.99,0.929,"Fan,Motor,Laptop,Iron"
211.417,-31.085,213.69,50.2,233.36,0.989,0.916,"Fan,Motor,Laptop,Iron"
210.119,-30.719,212.352,50.19,233.33,0.989,0.91,"Fan,Motor,Laptop,Iron"
215.82,-31.973,218.175,50.2,233.29,0.989,0.935,"Fan,Motor,Laptop,Iron"
211.391,-31.761,213.764,50.21,233.23,0.989,0.917,"Fan,Motor,Laptop,Iron"
208.811,-29.473,210.881,50.19,233.33,0.99,0.904,"Fan,Motor,Laptop,Iron"
209.415,-31.712,211.802,50.2,233.17,0.989,0.908,"Fan,Motor,Laptop,Iron"
211.565,-31.488,213.896,50.19,233.34,0.989,0.917,"Fan,Motor,Laptop,Iron"
209.893,-31.673,212.269,50.18,233.18,0.989,0.91,"Fan,Motor,Laptop,Iron"
